time=2025-08-15T12:26:28.367Z level=INFO msg="Watcharr Starting"
time=2025-08-15T12:26:28.374Z level=INFO msg="Config file doesn't exist... generating."
time=2025-08-15T12:26:28.387Z level=INFO msg="Logging level set" logging_level=INFO
time=2025-08-15T12:26:30.937Z level=INFO msg="No users found.. creating setup routes."
time=2025-08-15T12:26:30.937Z level=ERROR msg="IGDB init client id and or secret not provided"
time=2025-08-15T12:26:30.937Z level=ERROR msg="GameRoutes: Twitch init failed!" error="client id and or secret not provided"
time=2025-08-15T12:26:30.938Z level=INFO msg="SetupTasks: Jobs created and scheduler started."
[GIN] 2025/08/15 - 12:26:39 | 200 |   85.655594ms |      172.19.0.1 | GET      "/"
[GIN] 2025/08/15 - 12:26:39 | 200 |    3.661811ms |      172.19.0.1 | GET      "/_app/immutable/entry/start.B5OOuyHO.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    3.310182ms |      172.19.0.1 | GET      "/_app/immutable/chunks/B4gxYBfb.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    4.918319ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BGXRzb-w.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.093678ms |      172.19.0.1 | GET      "/_app/immutable/chunks/DEkLRNbM.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.394918ms |      172.19.0.1 | GET      "/_app/immutable/entry/app.2occsbdG.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.343214ms |      172.19.0.1 | GET      "/_app/immutable/chunks/Dp1pzeXC.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.544632ms |      172.19.0.1 | GET      "/_app/immutable/chunks/7PqsJaIq.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.361401ms |      172.19.0.1 | GET      "/_app/immutable/chunks/D8ZMDO8o.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.646125ms |      172.19.0.1 | GET      "/_app/immutable/chunks/D-XHi_pZ.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.732933ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BmQLUjC6.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.752034ms |      172.19.0.1 | GET      "/_app/immutable/chunks/CIONHpHQ.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    3.151368ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BXXAJwBA.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.146997ms |      172.19.0.1 | GET      "/_app/immutable/chunks/D3sL3woY.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.120496ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BbIiyYnN.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.587635ms |      172.19.0.1 | GET      "/favicon.png"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.925464ms |      172.19.0.1 | GET      "/_app/immutable/nodes/0.BrMfyTQf.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.657941ms |      172.19.0.1 | GET      "/_app/immutable/chunks/Bj2qemMA.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.228205ms |      172.19.0.1 | GET      "/_app/immutable/assets/Icon.CpqmKR8V.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.638539ms |      172.19.0.1 | GET      "/_app/immutable/assets/SpinnerTiny.Bhg8Q7Y6.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |     1.29171ms |      172.19.0.1 | GET      "/_app/immutable/assets/1.khH00wWb.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |     1.05619ms |      172.19.0.1 | GET      "/_app/immutable/assets/PageError.C5BATZnU.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.086393ms |      172.19.0.1 | GET      "/_app/immutable/assets/Spinner.CA4mg42l.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.044689ms |      172.19.0.1 | GET      "/_app/immutable/assets/Modal.p2wOSw_J.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.611837ms |      172.19.0.1 | GET      "/_app/immutable/assets/Setting.CiwkkM67.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.062191ms |      172.19.0.1 | GET      "/_app/immutable/assets/SettingsList.2KxEgwZE.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |      1.1772ms |      172.19.0.1 | GET      "/_app/immutable/assets/Tag.C3C1mcnx.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.012986ms |      172.19.0.1 | GET      "/_app/immutable/assets/TagMenu.D3bj8p2d.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.381418ms |      172.19.0.1 | GET      "/_app/immutable/assets/2.Dvrqa2x-.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |     1.41582ms |      172.19.0.1 | GET      "/_app/immutable/assets/ExtraDetails.Cuo5Zpbt.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.078992ms |      172.19.0.1 | GET      "/_app/immutable/assets/Poster.BMuiHTh2.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |     1.05149ms |      172.19.0.1 | GET      "/_app/immutable/assets/PosterList.CypI_c5W.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.243506ms |      172.19.0.1 | GET      "/_app/immutable/assets/GamePoster.Da4LMvCN.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.184801ms |      172.19.0.1 | GET      "/_app/immutable/assets/WatchedList.D1LeJnM2.css"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.351115ms |      172.19.0.1 | GET      "/_app/immutable/chunks/yZyo024d.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |     1.75335ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BI0dmAVL.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |     997.885µs |      172.19.0.1 | GET      "/_app/immutable/chunks/DGWxvAUt.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.826055ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BV9OcMqp.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.009386ms |      172.19.0.1 | GET      "/_app/immutable/chunks/DpbzzI77.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.038589ms |      172.19.0.1 | GET      "/_app/immutable/chunks/DDBy0vn8.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.574334ms |      172.19.0.1 | GET      "/_app/immutable/nodes/1.BvlRXamJ.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.585935ms |      172.19.0.1 | GET      "/_app/immutable/chunks/CSSEmgKy.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.684629ms |      172.19.0.1 | GET      "/_app/immutable/chunks/DhSprJHf.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |     992.684µs |      172.19.0.1 | GET      "/_app/immutable/chunks/DDNBneI_.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.396819ms |      172.19.0.1 | GET      "/_app/immutable/nodes/2.BGsUi6Ts.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.158999ms |      172.19.0.1 | GET      "/_app/immutable/chunks/xsH4HHeE.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |     897.176µs |      172.19.0.1 | GET      "/_app/immutable/chunks/HKJVCg_N.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.163785ms |      172.19.0.1 | GET      "/_app/immutable/chunks/CYDWKS_u.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    4.053045ms |      172.19.0.1 | GET      "/_app/immutable/chunks/DB8J7ywo.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    3.708916ms |      172.19.0.1 | GET      "/_app/immutable/chunks/0ehdFF3F.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    3.691314ms |      172.19.0.1 | GET      "/_app/immutable/chunks/wVz_mNnz.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.247707ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BuhX1ef4.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.157984ms |      172.19.0.1 | GET      "/_app/immutable/chunks/CDcfZW8n.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.205903ms |      172.19.0.1 | GET      "/_app/immutable/chunks/C9-pTMJ0.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.558532ms |      172.19.0.1 | GET      "/_app/immutable/chunks/DJVfAv7a.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    4.133552ms |      172.19.0.1 | GET      "/_app/immutable/chunks/3WlED6WI.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.664627ms |      172.19.0.1 | GET      "/_app/immutable/chunks/CokmVkGl.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.769736ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BeFW4Ov5.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.444323ms |      172.19.0.1 | GET      "/_app/immutable/chunks/DvtXWapr.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.338014ms |      172.19.0.1 | GET      "/_app/immutable/chunks/BJ_tHo4v.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    1.654341ms |      172.19.0.1 | GET      "/_app/immutable/nodes/4.TmU163yW.js"
[GIN] 2025/08/15 - 12:26:39 | 200 |    2.119281ms |      172.19.0.1 | GET      "/_app/immutable/chunks/CQ00-kfk.js"
